SKU,Nome,Preço promocional,Preço
3101-1-2,"Tapete de Couro - Mandala - 1,0m diâmetro",219,249
3102-1-2,"Tapete de Couro - Mandala - 1,2m diâmetro",290,359
3102-2-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-3-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-4-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-5-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-6-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-7-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-8-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-9-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-10-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-11-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3102-12-2,"Tapete de Couro - Mandala - 1,2m diâmetro","323,1",359
3104-12-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",639
3106-1-2,"Tapete de Couro - Mandala - 2,0m diâmetro","989,1",1099
3106-2-2,"Tapete de Couro - Mandala - 2,0m diâmetro","989,1",1099
3104-14-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",639
3104-15-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",639
3104-16-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",639
3104-17-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",639
3104-18-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-19-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-20-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-21-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-22-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-23-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-24-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-25-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
3104-26-2,"Tapete de Couro - Mandala - 1,6m diâmetro","575,1",699
80102-2,"Tapete de Couro Redondo - Colmeia - 1,20m Diâmetro - Metalizado Rose/Cobre",,479
8304-14-2,"Tapete de Couro Redondo - Bege - 1,60m Diâmetro - Quadriculado 10x10",,419
8304-35-2,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - 1,60m Diâmetro Quadriculado 10x10",,419
