SKU,Nome,Data de preço promocional começa em,Data de preço promocional termina em,Preço promocional,Preço
2016,"Tapete de Couro Médio 2,05 x 1,90m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2019,"Tapete de Couro Médio 2,25 x 1,98 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2045,"Tapete de Couro Médio 2,15 x 1,76m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2050,"Tapete de Couro Médio 2,20 x 1,70 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2053,"Tapete de Couro Médio 2,16 x 1,91m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2054,"Tapete de Couro Médio 2,14 x 1,80m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2072,"Tapete de Couro Médio 2,08 x 1,90 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2073,"Tapete de Couro Médio 1,92 x 1,74 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2083,"Tapete de Couro Médio 2,07 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2086,"Tapete de Couro Médio 2,20 x 1,97 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2102,"Tapete de Couro Médio 2,09 x 1,64 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2104,"Tapete de Couro Médio 2,00 x 1,67 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2105,"Tapete de Couro Médio 2,10 x 1,83 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2110,"Tapete de Couro Médio 2,16 x 1,83 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2119,"Tapete de Couro Médio 2,27 x 1,84 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2124,"Tapete de Couro Médio 2,00 x 1,83 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2125,"Tapete de Couro Médio 2,08 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2128,"Tapete de Couro Médio 2,18 x 1,83 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2129,"Tapete de Couro Médio 2,00 x 1,70 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2130,"Tapete de Couro Médio 2,07 x 1,97 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2131,"Tapete de Couro Médio 2,13 x 1,73 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2132,"Tapete de Couro Médio 2,03 x 1,84 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2133,"Tapete de Couro Médio 2,08 x 1,90 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2134,"Tapete de Couro Médio 1,97 x 1,98 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2136,"Tapete de Couro Médio 2,30 x 1,82 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2137,"Tapete de Couro Médio 2,15 x 2,05 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2138,"Tapete de Couro Médio 2,00 x 1,78 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2139,"Tapete de Couro Médio 2,17 x 1,75 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2140,"Tapete de Couro Médio 1,97 x 1,90 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2141,"Tapete de Couro Médio 2,25 x 1,81 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2142,"Tapete de Couro Médio 2,13 x 1,79 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2143,"Tapete de Couro Médio 2,02 x 1,93 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2144,"Tapete de Couro Médio 2,07 x 1,86 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2145,"Tapete de Couro Médio 2,06 x 2,00 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2146,"Tapete de Couro Médio 1,97 x 1,80 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2147,"Tapete de Couro Médio 2,00 x 1,91 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2148,"Tapete de Couro Médio 2,07 x 1,91 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2149,"Tapete de Couro Médio 1,96 x 1,84 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2150,"Tapete de Couro Médio 2,02 x 1,91 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2151,"Tapete de Couro Médio 1,99 x 1,90 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2152,"Tapete de Couro Médio 1,93 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2153,"Tapete de Couro Médio 2,16 x 2,02 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2154,"Tapete de Couro Médio 1,90 x 1,90 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2155,"Tapete de Couro Médio 2,13 x 1,95 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2156,"Tapete de Couro Médio 2,07 x 1,98 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2157,"Tapete de Couro Médio 2,05 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2158,"Tapete de Couro Médio 2,32 x 1,77 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2159,"Tapete de Couro Médio 1,88 x 1,86 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2160,Tapete de Couro Médio,11/15/21 0:00,11/26/21 23:59,"566,1",629
2161,"Tapete de Couro Médio 2,22 x 1,71 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2163,"Tapete de Couro Médio 1,96 x 1,86 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2164,"Tapete de Couro Médio 1,91 x 1,82 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2165,"Tapete de Couro Médio 2,05 x 1,83 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2166,"Tapete de Couro Médio 2,04 x 1,81 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2167,"Tapete de Couro Médio 2,03 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2168,"Tapete de Couro Médio 2,03 x 1,92 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2169,"Tapete de Couro Médio 2,16 x 1,85 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2170,"Tapete de Couro Médio 2,11 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2205,"Tapete de Couro P - 1,96 x 1,67 m",11/15/21 0:00,11/26/21 23:59,441,490
2216,"Tapete de Couro P - 1,90 x 1,75 m",11/15/21 0:00,11/26/21 23:59,441,490
2224,"Tapete de Couro P - 1,80 x 1,70 m",11/15/21 0:00,11/26/21 23:59,441,490
2225,"Tapete de Couro P - 1,80 x 1,58 m",11/15/21 0:00,11/26/21 23:59,441,490
2226,"Tapete de Couro P - 1,88 x 1,49 m",11/15/21 0:00,11/26/21 23:59,441,490
2228,"Tapete de Couro P - 1,91 x 1,66 m",11/15/21 0:00,11/26/21 23:59,441,490
2231,"Tapete de Couro P - 2,03 x 1,82 m",11/15/21 0:00,11/26/21 23:59,441,490
2232,"Tapete de Couro P - 1,80 x 1,62 m",11/15/21 0:00,11/26/21 23:59,441,490
