SKU,Nome,Preço promocional,Preço,Categorias
5030,Capa para Banco/Mocho de Pele de Ovelha Branca/Off Whithe,,85,PRONTA ENTREGA > Peles de Ovelha
5031,Capa para Banco/Mocho de Pele de Ovelha Chamuscado,,85,PRONTA ENTREGA > Peles de Ovelha
5032,Capa para Banco/Mocho de Pele de Ovelha Preta,,85,PRONTA ENTREGA > Peles de Ovelha
5040,Capa para Banco/Mocho de Pele de Ovelha Branca/Off White,,95,PRONTA ENTREGA > Peles de Ovelha
5041,Capa para Banco/Mocho de Pele de Ovelha Chamuscado,,95,PRONTA ENTREGA > Peles de Ovelha
OVELHA_PELEGO_BRANCO,Pele de Ovelha Pelego Premium Branco/Off White,,,PRONTA ENTREGA > Peles de Ovelha
5021,Almofada Pele de Ovelha Branca/Off Whithe,,199,"PRONTA ENTREGA > Almofadas, PRONTA ENTREGA > Peles de Ovelha"
5023,Almofada Pele de Ovelha Preta,,199,"PRONTA ENTREGA > Almofadas, PRONTA ENTREGA > Peles de Ovelha"
5022,Almofada Pele de Ovelha Chamuscada,,199,"PRONTA ENTREGA > Almofadas, PRONTA ENTREGA > Peles de Ovelha"
5060,Tapete Pele de Ovelha Branco/Off White,,199,PRONTA ENTREGA > Peles de Ovelha
5061,Tapete Pele de Ovelha Chamuscado,,199,PRONTA ENTREGA > Peles de Ovelha
5063,Tapete Pele de Ovelha Preto,,199,PRONTA ENTREGA > Peles de Ovelha
5051-branco,Pantufa Bariloche em Pele de Ovelha/Carneiro Branca/Off White,,,PRONTA ENTREGA > Peles de Ovelha
5053-marrom,Pantufa Bariloche em Pele de Ovelha/Carneiro Marrom,,,PRONTA ENTREGA > Peles de Ovelha
5052-chamuscado,Pantufa Bariloche em Pele de Ovelha/Carneiro Chamuscada,,,PRONTA ENTREGA > Peles de Ovelha
OVELHA_PELEGO_CHAMUSCADO,Pele de Ovelha Pelego Premium Marrom Chamuscado,,,PRONTA ENTREGA > Peles de Ovelha
