2021-11-08T00:31:32+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-08T00:31:32+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-08T00:31:33+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-08T00:31:34+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-08T00:31:36+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-08T00:31:36+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-08T00:43:38+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-08T00:50:16+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-08T00:50:16+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-08T00:50:17+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-08T02:58:51+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

