2021-11-10T00:21:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:55:16+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T00:56:02+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T00:56:02+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:56:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:56:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:56:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:56:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:56:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:56:07+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T00:56:09+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T00:56:10+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T01:03:20+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T01:03:36+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:03:37+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T01:03:42+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T01:04:02+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:04:02+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:04:55+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:06:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1081

2021-11-10T01:06:42+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T01:06:44+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:07:43+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:07:43+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:07:47+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T01:08:13+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T01:08:14+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T01:23:26+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T03:25:10+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T03:25:12+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T03:25:13+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

