2022-02-05T22:31:54+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T22:32:55+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T22:33:03+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T22:33:22+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T22:33:36+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T22:34:11+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T22:34:48+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T23:39:47+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T23:39:47+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T23:39:47+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

2022-02-05T23:39:47+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 172032 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/inc/includes.php, na linha 125

